"UH","Reserva","Valor","Data","Hora","Usuário","Qtde","Motivo"
"511","57987696","0","5/9/2022","12:14:00 AM","RFELIZ","1","ERRO DO SISTEMA"
"103","57851328","40.23","5/9/2022","4:37:10 PM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"1011","57666911","79.65","5/9/2022","1:55:48 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"308","57828857","94.75","5/9/2022","1:59:44 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"","","-152","5/9/2022","12:03:43 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"511","57886148","-209.22","5/10/2022","5:15:00 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"1007","56725604","1067.84","5/10/2022","4:14:49 AM","RFELIZ","1","Erro de Laçto"
"510","57646546","18","5/10/2022","3:06:21 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"406","57965609","21","5/10/2022","3:21:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"905","57834733","24","5/10/2022","4:20:12 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"903","57916934","26.25","5/10/2022","9:24:25 AM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"901","57471460","26.25","5/10/2022","4:57:42 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"111","58004858","26.25","5/10/2022","3:01:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"710","57794014","32.25","5/10/2022","9:51:50 AM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"1211","57758646","34.25","5/10/2022","4:50:58 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"409","57646503","43","5/10/2022","3:03:12 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"710","57857814","56","5/10/2022","4:30:15 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"1203","57401500","72","5/10/2022","9:30:58 AM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"209","57849919","135.5","5/10/2022","10:19:00 AM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"109","57873747","187.95","5/10/2022","3:49:07 AM","RFELIZ","1","Erro de Laçto"
"503","57805539","211.05","5/10/2022","1:46:44 PM","CALOLIVEIRA","1","Erro de Laçto"
"511","57886148","235.47","5/10/2022","5:09:00 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"510","57646546","364.2","5/10/2022","2:45:15 PM","CALOLIVEIRA","1","Erro de Laçto"
"510","57646546","364.2","5/10/2022","3:05:51 AM","RFELIZ","1","Erro de Laçto"
"1109","57611343","418.39","5/10/2022","10:18:23 AM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"410","57836191","6","5/10/2022","4:44:12 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"701","57022585","-404","5/11/2022","11:31:19 PM","RFELIZ","1","ERRO DO SISTEMA"
"601","57729948","-25","5/11/2022","2:14:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"204","57976007","-8","5/11/2022","7:06:55 AM","RFELIZ","1","HOSPEDE NÃO CONSUMIU"
"1107","57995338","-8","5/11/2022","9:16:04 AM","RFELIZ","1","HOSPEDE NÃO CONSUMIU"
"604","57554277","-6","5/11/2022","9:38:50 AM","LPADOVINO","1","HOSPEDE NÃO CONSUMIU"
"706","56801726","493.5","5/11/2022","8:42:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"1203","57989834","12","5/11/2022","2:24:57 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"211","58015329","32.25","5/11/2022","2:22:04 PM","CALOLIVEIRA","1","ERRO DE LANÇAMENTO"
"1001","57729255","44.25","5/11/2022","2:22:44 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"901","58016031","68","5/11/2022","2:05:43 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"1009","57824517","118","5/11/2022","4:52:50 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"601","57729948","-1.25","5/11/2022","2:14:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"1001","57957088","-126.8","5/12/2022","7:33:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"1001","57957088","-30","5/12/2022","7:21:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"801","57949573","-12","5/12/2022","3:05:25 PM","CALOLIVEIRA","2","AUTORIZADO PELO GERENT"
"404","57963827","-8","5/12/2022","6:46:35 AM","RFELIZ","1","HOSPEDE NÃO CONSUMIU"
"801","57949573","-8","5/12/2022","3:05:25 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"801","57949573","-8","5/12/2022","3:05:25 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"109","57706840","465.7","5/12/2022","3:08:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"1207","57777888","-6","5/12/2022","7:41:53 AM","LPADOVINO","1","HOSPEDE NÃO CONSUMIU"
"109","57873747","-4","5/12/2022","8:23:16 AM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"501","57625808","21","5/12/2022","12:29:47 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"811","58016589","42","5/12/2022","12:46:39 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"1006","57943095","227.85","5/12/2022","12:25:16 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"1001","57957088","-6.34","5/12/2022","7:33:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"901","57722595","-52.5","5/13/2022","12:17:00 PM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"201","57712123","1713.6","5/13/2022","3:01:00 AM","RFELIZ","1","AUTORIZADO PELO GERENT"
"510","57836760","-25","5/13/2022","2:43:00 PM","IGPESSOA","1","ERRO DE LANÇAMENTO"
"911","57452393","-25","5/13/2022","2:48:00 PM","IGPESSOA","1","ERRO DE LANÇAMENTO"
"409","57680345","-6","5/13/2022","8:08:00 AM","IGPESSOA","1","HOSPEDE NÃO CONSUMIU"
"907","57999848","-5","5/13/2022","11:43:38 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"907","57999848","-5","5/13/2022","11:43:38 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"901","57722595","-2.62","5/13/2022","12:17:00 PM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"306","57587957","-1.5","5/13/2022","10:44:00 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"510","57836760","-1.25","5/13/2022","2:43:00 PM","IGPESSOA","1","ERRO DE LANÇAMENTO"
"911","57452393","-1.25","5/13/2022","2:48:00 PM","IGPESSOA","1","ERRO DE LANÇAMENTO"
"907","57999848","-0.25","5/13/2022","11:43:38 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"907","57999848","-0.25","5/13/2022","11:43:38 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
