"UH","Reserva","Valor","Data","Hora","Usuário","Qtde","Motivo",""
"811","58397035","-0.01","6/9/2022","7:03:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"905","58420703","-1.25","6/9/2022","6:25:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"905","58420703","-25","6/9/2022","6:25:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"910","58030875","-8.2","6/9/2022","3:49:15 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"910","58030875","-164","6/9/2022","3:49:14 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"1004","58466509","76","6/10/2022","2:30:12 AM","RFREITAS","1","ERRO DE LANÇAMENTO",""
"1006","58396950","23","6/10/2022","10:41:23 AM","IGPESSOA","1","ERRO DE LANÇAMENTO",""
"1008","58537058","7","6/10/2022","11:14:47 PM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"1008","58420681","-10","6/10/2022","7:15:00 AM","RFREITAS","2","HOSPEDE NÃO CONSUMIU",""
"1008","58420681","878.24","6/10/2022","9:22:05 PM","CALOLIVEIRA","1","Erro de Laçto",""
"102","58523510","282.74","6/10/2022","2:25:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO",""
"105","58420789","562.27","6/10/2022","9:41:41 AM","CFIOR","1","Erro de Laçto",""
"105","58420789","562.27","6/10/2022","9:24:22 PM","CALOLIVEIRA","1","Erro de Laçto",""
"105","58420789","-12","6/10/2022","9:30:00 AM","IGPESSOA","2","HOSPEDE NÃO CONSUMIU",""
"106","58420592","-6","6/10/2022","8:43:00 AM","CFIOR","1","HOSPEDE NÃO CONSUMIU",""
"106","58420592","878.24","6/10/2022","9:14:56 PM","CALOLIVEIRA","1","Erro de Laçto",""
"1102","58420665","749.68","6/10/2022","9:20:54 PM","CALOLIVEIRA","1","Erro de Laçto",""
"1104","58488626","-6","6/10/2022","10:59:11 AM","CFIOR","1","HOSPEDE NÃO CONSUMIU",""
"1104","58488626","6","6/10/2022","10:59:11 AM","CFIOR","1","HOSPEDE NÃO CONSUMIU",""
"1106","58420584","878.24","6/10/2022","9:15:55 PM","CALOLIVEIRA","1","Erro de Laçto",""
"1109","58459146","-140.12","6/10/2022","2:37:00 PM","IGPESSOA","1","ERRO DE LANÇAMENTO",""
"1111","58396934","-5","6/10/2022","10:16:00 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"1111","58396934","-0.25","6/10/2022","10:16:00 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"1202","58282599","-30","6/10/2022","7:06:00 PM","RFELIZ","2","ERRO DE LANÇAMENTO",""
"204","58397000","-12","6/10/2022","10:36:00 AM","CFIOR","1","HOSPEDE NÃO CONSUMIU",""
"208","58441484","159","6/10/2022","2:54:32 AM","RFREITAS","1","ERRO DE LANÇAMENTO",""
"302","58420673","749.68","6/10/2022","9:21:30 PM","CALOLIVEIRA","1","Erro de Laçto",""
"310","58394664","32","6/10/2022","2:44:20 AM","RFREITAS","1","ERRO DE LANÇAMENTO",""
"401","58368213","126.5","6/10/2022","4:01:59 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
"402","58420711","8","6/10/2022","1:39:00 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
"404","58186298","90","6/10/2022","2:54:39 PM","IGPESSOA","1","ERRO DO SISTEMA",""
"602","58420738","749.68","6/10/2022","9:22:43 PM","CALOLIVEIRA","1","Erro de Laçto",""
"603","58146296","70","6/10/2022","4:07:11 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
"605","58420770","-20","6/10/2022","5:34:00 AM","RFREITAS","2","HOSPEDE NÃO CONSUMIU",""
"605","58420770","749.68","6/10/2022","9:25:36 PM","CALOLIVEIRA","1","Erro de Laçto",""
"608","58538437","282.74","6/10/2022","1:46:57 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
"611","58434836","-1.3","6/10/2022","9:52:48 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"611","58434836","-26","6/10/2022","9:52:48 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"611","58434836","-26","6/10/2022","9:52:48 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"611","58434836","-1.3","6/10/2022","9:52:48 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"707","58111395","-8","6/10/2022","9:43:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"707","58111395","-8","6/10/2022","9:43:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"707","58111395","-16","6/10/2022","9:43:00 PM","RFELIZ","2","ERRO DE LANÇAMENTO",""
"804","57432880","30","6/10/2022","4:10:36 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
"807","57777985","61","6/10/2022","1:41:41 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
"810","58133151","646.38","6/10/2022","10:43:00 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"810","57804710","-8","6/10/2022","8:13:01 AM","IGPESSOA","1","HOSPEDE NÃO CONSUMIU",""
"810","57804710","-18","6/10/2022","8:13:21 AM","IGPESSOA","3","HOSPEDE NÃO CONSUMIU",""
"811","58133178","662.55","6/10/2022","10:46:14 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"811","58397035","-26","6/10/2022","10:05:22 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"811","58397035","-1.3","6/10/2022","10:05:22 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"905","58420703","749.68","6/10/2022","9:20:21 PM","CALOLIVEIRA","1","Erro de Laçto",""
"","","139.8","6/10/2022","1:32:42 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
"1006","58488863","-3.27","6/11/2022","8:02:00 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"1006","58488863","-1.58","6/11/2022","8:02:00 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"1006","58488863","-31.5","6/11/2022","8:02:00 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"1006","58488863","-65.4","6/11/2022","8:02:00 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"1011","58047158","948.15","6/11/2022","1:46:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO",""
"107","58420614","374.84","6/11/2022","11:12:42 AM","CALOLIVEIRA","1","Erro de Laçto",""
"108","58420568","658.68","6/11/2022","11:08:34 AM","CALOLIVEIRA","1","Erro de Laçto",""
"1107","58420630","187.42","6/11/2022","11:15:09 AM","CALOLIVEIRA","1","Erro de Laçto",""
"1108","58420533","439.12","6/11/2022","11:05:26 AM","CALOLIVEIRA","1","Erro de Laçto",""
"1201","58420797","187.42","6/11/2022","11:21:02 AM","CALOLIVEIRA","1","Erro de Laçto",""
"1201","58560580","534.87","6/11/2022","1:53:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO",""
"1202","58420622","374.85","6/11/2022","11:13:49 AM","CALOLIVEIRA","1","Erro de Laçto",""
"1208","58420525","439.12","6/11/2022","11:04:12 AM","CALOLIVEIRA","1","Erro de Laçto",""
"1211","58420606","187.42","6/11/2022","11:11:36 AM","CALOLIVEIRA","1","Erro de Laçto",""
"1211","58201327","232.47","6/11/2022","1:48:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO",""
"202","58420649","374.84","6/11/2022","11:23:43 AM","CALOLIVEIRA","1","Erro de Laçto",""
"205","58420657","374.84","6/11/2022","11:16:14 AM","CALOLIVEIRA","1","Erro de Laçto",""
"302","58561250","231.52","6/11/2022","12:37:03 PM","CALOLIVEIRA","1","Erro de Laçto",""
